,price,type,subtype,constructionYear,condition,room_number,cuisine_type,heatingType,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name
44,445000,apartment,ground floor,2020.0,as new,1.0,usa installed,gas,85,5235.29,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8946954,montois immobilier
45,1900000,apartment,penthouse,2018.0,as new,3.0,usa hyper equipped,gas,285,6666.67,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8940467,lecobel vaneau vente neuf
46,1537000,apartment,apartment,2017.0,as new,2.0,hyper equipped,gas,160,9606.25,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,7759215,engel &amp; völkers brussels projects - projets neufs
47,1839000,apartment,apartment,2017.0,as new,3.0,hyper equipped,gas,203,9059.11,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,7759216,engel &amp; völkers brussels projects - projets neufs
48,3324000,apartment,apartment,2017.0,as new,3.0,hyper equipped,gas,308,10792.21,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8429808,engel &amp; völkers brussels projects - projets neufs
49,1950000,apartment,apartment,2017.0,as new,3.0,hyper equipped,gas,211,9241.71,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8429807,engel &amp; völkers brussels projects - projets neufs
50,3297000,apartment,apartment,2017.0,as new,3.0,hyper equipped,gas,305,10809.84,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8429809,engel &amp; völkers brussels projects - projets neufs
51,480000,apartment,duplex,2018.0,as new,2.0,usa hyper equipped,gas,109,4403.67,1.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,8960162,lecobel vaneau vente neuf
52,2500000,apartment,penthouse,2018.0,as new,4.0,hyper equipped,gas,277,9025.27,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,0.0,4.3815707,50.8222854,8903554,latour et petit vente
53,590000,apartment,penthouse,2015.0,good,2.0,usa hyper equipped,gas,95,6210.53,0.0,False,True,False,1050,Ixelles,Brussels Capital Region,1.0,4.3815707,50.8222854,9040912,address real estate
