,price,constructionYear,room_number,mètres carrés,prix mètres carrés,parking extérieur,atticExists,basementExists,hasSwimmingPool,zip,city,municipalities,parking intérieur,lng,lat,id,company_name,type_is_apartment,type_is_house,subtype_is_apartment,subtype_is_apartment block,subtype_is_bungalow,subtype_is_castle,subtype_is_chalet,subtype_is_country cottage,subtype_is_duplex,subtype_is_exceptional property,subtype_is_farmhouse,subtype_is_flat studio,subtype_is_ground floor,subtype_is_house,subtype_is_loft,subtype_is_manor house,subtype_is_mansion,subtype_is_mixed use building,subtype_is_other property,subtype_is_penthouse,subtype_is_service flat,subtype_is_town house,subtype_is_triplex,subtype_is_villa,cuisine_type_is_hyper equipped,cuisine_type_is_installed,cuisine_type_is_not installed,cuisine_type_is_semi equipped,cuisine_type_is_usa hyper equipped,cuisine_type_is_usa installed,cuisine_type_is_usa semi equipped,cuisine_type_is_usa uninstalled,condition_is_as new,condition_is_good,condition_is_just renovated,condition_is_to be done up,condition_is_to renovate,condition_is_to restore,heatingType_is_carbon,heatingType_is_electric,heatingType_is_fueloil,heatingType_is_gas,heatingType_is_pellet,heatingType_is_solar,heatingType_is_wood
8682,229000,1964.0,3.0,194,1180.41,3.0,False,False,False,2260,Oevel,Antwerp,1.0,4.9053100999999995,51.1377568,8518043,vebo vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8683,229000,1964.0,3.0,194,1180.41,3.0,False,False,False,2260,Tongerlo,Antwerp,1.0,4.9012622781849,51.1220734,8518043,vebo vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8684,229000,1964.0,3.0,194,1180.41,3.0,False,False,False,2260,Westerlo,Antwerp,1.0,4.9168675,51.086694,8518043,vebo vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8685,229000,1964.0,3.0,194,1180.41,3.0,False,False,False,2260,Zoerle-Parwijs,Antwerp,1.0,4.8729402,51.088088899999995,8518043,vebo vastgoed,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8686,219000,1966.0,3.0,142,1542.25,0.0,True,False,False,2260,Oevel,Antwerp,1.0,4.9053100999999995,51.1377568,8925897,immovatief,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8687,219000,1966.0,3.0,142,1542.25,0.0,True,False,False,2260,Tongerlo,Antwerp,1.0,4.9012622781849,51.1220734,8925897,immovatief,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8688,219000,1966.0,3.0,142,1542.25,0.0,True,False,False,2260,Westerlo,Antwerp,1.0,4.9168675,51.086694,8925897,immovatief,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8689,219000,1966.0,3.0,142,1542.25,0.0,True,False,False,2260,Zoerle-Parwijs,Antwerp,1.0,4.8729402,51.088088899999995,8925897,immovatief,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8690,269000,2008.0,4.0,130,2069.23,1.0,False,False,False,8480,Bekegem,West Flanders,0.0,3.0582322396597004,51.14886485,8838992,residentie vastgoed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8691,269000,2008.0,4.0,130,2069.23,1.0,False,False,False,8480,Eernegem,West Flanders,0.0,3.023122345129,51.12819605,8838992,residentie vastgoed,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
